country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Ethiopia,ETH,Africa,Sub-Saharan Africa,2013,0.435,33,94558374,63.952,502.1535887
Fiji,FJI,Oceania,Melanesia,2013,0.727,NA,880487,69.796,4763.068956
Finland,FIN,Europe,Northern Europe,2013,0.89,89,5453061,80.97560976,49638.07713
France,FRA,Europe,Western Europe,2013,0.89,71,63844529,82.2195122,42592.95152
Gabon,GAB,Africa,Sub-Saharan Africa,2013,0.687,34,1650351,64.686,9679.758914
Georgia,GEO,Asia,Western Asia,2013,0.759,49,4082727,72.832,4274.376865
Germany,DEU,Europe,Western Europe,2013,0.92,78,80565861,80.4902439,46530.91143
Ghana,GHA,Africa,Sub-Saharan Africa,2013,0.576,46,26164432,61.86,2401.754122
Greece,GRC,Europe,Southern Europe,2013,0.862,40,11055164,81.28536585,21874.8195
Grenada,GRD,Americas,Latin America and the Caribbean,2013,0.749,NA,105902,73.227,7956.076548
Guatemala,GTM,Americas,Latin America and the Caribbean,2013,0.614,29,15690793,72.562,3452.834671
Guinea,GIN,Africa,Sub-Saharan Africa,2013,0.412,24,11948726,58.301,726.0893942
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,2013,0.419,19,1757138,56.2,621.9406736
Guyana,GUY,Americas,Latin America and the Caribbean,2013,0.636,27,761033,66.318,3941.114661
Haiti,HTI,Americas,Latin America and the Caribbean,2013,0.487,19,10431249,62.432,810.2656073
Honduras,HND,Americas,Latin America and the Caribbean,2013,0.618,26,7849059,72.99,2136.771718
Hungary,HUN,Europe,Eastern Europe,2013,0.834,54,9924507,75.56585366,13667.70279
Iceland,ISL,Europe,Northern Europe,2013,0.915,78,325392,82.06097561,48023.62691
India,IND,Asia,Southern Asia,2013,0.607,36,1279498874,67.714,1452.195373
Indonesia,IDN,Asia,South-eastern Asia,2013,0.682,32,251268276,68.684,3620.663981
Iraq,IRQ,Asia,Western Asia,2013,0.658,16,34107366,69.219,6925.224046
Ireland,IRL,Europe,Northern Europe,2013,0.91,72,4671263,81,51773.11137
Israel,ISR,Asia,Western Asia,2013,0.895,61,7817818,82.05609756,36291.23211
Italy,ITA,Europe,Southern Europe,2013,0.877,43,59771094,82.6902439,35370.27526
Jamaica,JAM,Americas,Latin America and the Caribbean,2013,0.727,38,2773215,75.523,4976.848781
Japan,JPN,Asia,Eastern Asia,2013,0.899,74,126984964,83.33195122,40454.44746
Jordan,JOR,Asia,Western Asia,2013,0.737,45,7214832,73.883,3992.867107
Kazakhstan,KAZ,Asia,Central Asia,2013,0.789,26,17099546,70.45,13890.63177
Kenya,KEN,Africa,Sub-Saharan Africa,2013,0.546,27,43692881,65.651,1229.101069
Kiribati,KIR,Oceania,Micronesia,2013,0.597,NA,108544,65.78,1705.56891
Kuwait,KWT,Asia,Western Asia,2013,0.787,43,3593689,74.338,48399.80782
Latvia,LVA,Europe,Northern Europe,2013,0.822,53,2011857,73.98292683,15032.28201
Lebanon,LBN,Asia,Western Asia,2013,0.763,28,5286990,79.05,8807.901335
Lesotho,LSO,Africa,Sub-Saharan Africa,2013,0.491,49,2083061,52.738,1192.998766
Liberia,LBR,Africa,Sub-Saharan Africa,2013,0.426,38,4293692,61.066,715.5370459
Libya,LBY,Africa,Northern Africa,2013,0.73,15,6265987,71.592,10571.85076
Lithuania,LTU,Europe,Northern Europe,2013,0.841,57,2963810,73.91463415,15693.78673
